;NOME;IAA_2020;IAA_2021;IAA_2022;cluster
4;ALUNO-5;7.50002;7.4;6.41668;3
7;ALUNO-8;8.33334;8.8;9.16668;0
10;ALUNO-11;9.000020000000001;9.0;8.000020000000001;0
16;ALUNO-17;9.50002;9.5;9.50002;0
17;ALUNO-18;9.58335;10.0;0.0;2
33;ALUNO-34;8.500020000000001;6.9;7.5;3
35;ALUNO-36;9.58335;8.3;5.83333;3
36;ALUNO-37;10.00002;0.0;8.500020000000001;1
45;ALUNO-46;9.50002;8.5;8.500020000000001;0
50;ALUNO-51;9.50002;9.0;9.000020000000001;0
59;ALUNO-60;7.5;7.9;8.33334;3
60;ALUNO-61;9.000020000000001;0.0;10.00002;1
74;ALUNO-75;10.00002;10.0;10.00002;0
75;ALUNO-76;8.91668;10.0;10.00002;0
77;ALUNO-78;9.50002;8.9;6.91668;3
80;ALUNO-81;5.41667;6.3;8.33334;3
82;ALUNO-83;9.16668;6.7;7.91667;3
83;ALUNO-84;9.000020000000001;3.5;9.000020000000001;1
84;ALUNO-85;9.50002;9.5;9.50002;0
86;ALUNO-87;8.33334;7.9;9.16668;0
87;ALUNO-88;10.00002;9.5;9.58335;0
89;ALUNO-90;8.33334;7.1;5.833320000000001;3
90;ALUNO-91;9.000020000000001;9.5;8.500020000000001;0
96;ALUNO-97;9.50002;8.0;7.91667;3
99;ALUNO-100;9.000020000000001;8.5;9.000020000000001;0
101;ALUNO-102;8.000020000000001;6.3;7.333340000000001;3
102;ALUNO-103;9.000020000000001;9.5;9.50002;0
112;ALUNO-113;8.500020000000001;9.5;9.16668;0
117;ALUNO-118;8.500020000000001;8.5;10.00002;0
127;ALUNO-128;7.416679999999999;7.9;9.000020000000001;3
132;ALUNO-133;10.00002;9.5;8.000020000000001;0
134;ALUNO-135;9.000020000000001;9.5;9.000020000000001;0
150;ALUNO-151;9.50002;9.5;8.33334;0
151;ALUNO-152;6.24999;8.8;8.75001;3
152;ALUNO-153;10.00002;10.0;10.00002;0
153;ALUNO-154;8.500020000000001;9.5;3.49998;2
155;ALUNO-156;7.916679999999999;7.5;7.91667;3
157;ALUNO-158;9.16668;8.3;8.33334;0
163;ALUNO-164;9.50002;9.5;8.500020000000001;0
164;ALUNO-165;9.000020000000001;10.0;8.500020000000001;0
167;ALUNO-168;10.00002;0.0;9.000020000000001;1
