;NOME;IAN_2020;IAN_2021;IAN_2022;cluster
4;ALUNO-5;10.0;10.0;5.0;0
7;ALUNO-8;10.0;10.0;5.0;0
10;ALUNO-11;10.0;10.0;5.0;0
16;ALUNO-17;5.0;5.0;5.0;2
17;ALUNO-18;5.0;5.0;5.0;2
33;ALUNO-34;5.0;5.0;5.0;2
35;ALUNO-36;5.0;5.0;5.0;2
36;ALUNO-37;10.0;10.0;5.0;0
45;ALUNO-46;10.0;10.0;10.0;3
50;ALUNO-51;10.0;10.0;5.0;0
59;ALUNO-60;5.0;5.0;5.0;2
60;ALUNO-61;5.0;5.0;5.0;2
74;ALUNO-75;10.0;10.0;10.0;3
75;ALUNO-76;10.0;10.0;10.0;3
77;ALUNO-78;5.0;5.0;5.0;2
80;ALUNO-81;5.0;5.0;5.0;2
82;ALUNO-83;10.0;10.0;5.0;0
83;ALUNO-84;10.0;10.0;5.0;0
84;ALUNO-85;5.0;5.0;5.0;2
86;ALUNO-87;10.0;10.0;5.0;0
87;ALUNO-88;10.0;5.0;10.0;1
89;ALUNO-90;5.0;5.0;5.0;2
90;ALUNO-91;10.0;10.0;5.0;0
96;ALUNO-97;5.0;5.0;10.0;2
99;ALUNO-100;5.0;5.0;5.0;2
101;ALUNO-102;10.0;5.0;5.0;1
102;ALUNO-103;10.0;10.0;5.0;0
112;ALUNO-113;5.0;5.0;10.0;2
117;ALUNO-118;10.0;10.0;5.0;0
127;ALUNO-128;5.0;5.0;5.0;2
132;ALUNO-133;5.0;5.0;5.0;2
134;ALUNO-135;10.0;5.0;5.0;1
150;ALUNO-151;5.0;5.0;10.0;2
151;ALUNO-152;10.0;10.0;10.0;3
152;ALUNO-153;10.0;10.0;10.0;3
153;ALUNO-154;5.0;5.0;5.0;2
155;ALUNO-156;5.0;10.0;10.0;3
157;ALUNO-158;5.0;5.0;5.0;2
163;ALUNO-164;5.0;10.0;5.0;0
164;ALUNO-165;5.0;5.0;5.0;2
167;ALUNO-168;5.0;5.0;5.0;2
168;ALUNO-169;10.0;5.0;5.0;1
192;ALUNO-193;10.0;5.0;5.0;1
196;ALUNO-197;10.0;10.0;10.0;3
199;ALUNO-200;10.0;10.0;5.0;0
200;ALUNO-201;5.0;5.0;5.0;2
211;ALUNO-212;10.0;5.0;5.0;1
216;ALUNO-217;10.0;5.0;10.0;1
218;ALUNO-219;10.0;5.0;5.0;1
224;ALUNO-225;10.0;10.0;5.0;0
228;ALUNO-229;5.0;5.0;5.0;2
234;ALUNO-235;10.0;10.0;10.0;3
240;ALUNO-241;5.0;5.0;5.0;2
241;ALUNO-242;5.0;5.0;5.0;2
245;ALUNO-246;5.0;5.0;5.0;2
250;ALUNO-251;10.0;10.0;10.0;3
