;NOME;IDA_2020;IDA_2021;IDA_2022;cluster
4;ALUNO-5;7.5;5.4;7.083333333333334;1
7;ALUNO-8;7.333333333333333;7.1;7.144444444444445;1
10;ALUNO-11;10.0;8.8;9.833333333333332;2
16;ALUNO-17;10.0;2.6;5.5;0
17;ALUNO-18;6.5;5.3;5.222222222222222;1
33;ALUNO-34;7.0;5.5;6.111111111111111;1
35;ALUNO-36;8.0;4.7;5.877777777777777;0
36;ALUNO-37;2.5;6.5;7.333333333333333;1
45;ALUNO-46;0.0;6.9;5.0;3
50;ALUNO-51;10.0;5.4;5.083333333333334;0
59;ALUNO-60;6.666666666666667;6.1;4.044444444444444;0
60;ALUNO-61;0.0;0.0;2.5;3
74;ALUNO-75;9.0;8.5;8.5;2
75;ALUNO-76;10.0;7.6;7.166666666666666;2
77;ALUNO-78;5.5;2.6;7.666666666666666;3
80;ALUNO-81;6.0;6.5;6.655555555555555;1
82;ALUNO-83;5.333333333333333;3.0;6.8;3
83;ALUNO-84;8.5;6.8;6.25;2
84;ALUNO-85;10.0;6.9;7.583333333333333;2
86;ALUNO-87;6.666666666666667;7.8;6.566666666666667;1
87;ALUNO-88;9.5;7.4;6.877777777777777;2
89;ALUNO-90;7.666666666666667;4.6;3.555555555555556;0
90;ALUNO-91;4.5;2.2;7.916666666666667;3
96;ALUNO-97;6.0;5.8;7.0;1
99;ALUNO-100;7.5;0.0;1.666666666666666;0
101;ALUNO-102;7.0;4.8;7.666666666666666;1
102;ALUNO-103;8.5;6.2;6.0;2
112;ALUNO-113;7.5;4.6;5.166666666666666;0
117;ALUNO-118;10.0;6.9;9.416666666666668;2
127;ALUNO-128;5.5;4.0;6.083333333333333;3
132;ALUNO-133;10.0;7.1;7.166666666666666;2
134;ALUNO-135;6.5;3.6;2.416666666666667;0
150;ALUNO-151;7.5;9.1;7.900000000000001;2
151;ALUNO-152;6.333333333333333;8.0;7.644444444444443;1
152;ALUNO-153;4.666666666666667;7.5;8.700000000000001;1
153;ALUNO-154;0.0;1.5;3.75;3
155;ALUNO-156;5.0;7.3;6.599999999999999;1
157;ALUNO-158;5.0;4.5;4.111111111111112;3
163;ALUNO-164;7.5;5.9;5.75;1
164;ALUNO-165;10.0;7.3;8.416666666666668;2
167;ALUNO-168;8.5;2.5;6.133333333333333;0
168;ALUNO-169;10.0;6.1;6.916666666666666;2
192;ALUNO-193;7.0;7.7;5.566666666666666;1
196;ALUNO-197;8.666666666666666;6.0;7.688888888888889;2
199;ALUNO-200;5.666666666666667;3.3;5.611111111111112;3
200;ALUNO-201;8.0;6.4;4.033333333333333;0
211;ALUNO-212;7.0;4.3;6.766666666666666;1
216;ALUNO-217;9.5;7.1;8.133333333333333;2
218;ALUNO-219;5.0;1.9;2.666666666666667;3
224;ALUNO-225;8.333333333333334;6.0;7.388888888888888;2
228;ALUNO-229;0.0;4.0;8.0;3
234;ALUNO-235;7.666666666666667;6.6;5.677777777777778;1
240;ALUNO-241;9.5;0.0;2.5;0
241;ALUNO-242;5.5;2.9;3.333333333333333;3
245;ALUNO-246;8.0;4.6;5.25;0
250;ALUNO-251;10.0;7.3;7.833333333333334;2
261;ALUNO-262;6.666666666666667;7.7;6.844444444444444;1
262;ALUNO-263;6.333333333333333;6.5;5.577777777777778;1
265;ALUNO-266;8.5;6.8;7.0;2
266;ALUNO-267;8.0;8.2;7.866666666666667;2
272;ALUNO-273;0.0;0.0;5.666666666666666;3
274;ALUNO-275;4.333333333333333;3.4;3.966666666666667;3
276;ALUNO-277;10.0;7.8;8.25;2
287;ALUNO-288;3.75;7.7;7.333333333333333;1
292;ALUNO-293;0.0;0.0;0.7222222222222222;3
294;ALUNO-295;7.25;6.9;6.5;1
295;ALUNO-296;5.0;3.6;5.25;3
300;ALUNO-301;9.5;6.3;8.0;2
304;ALUNO-305;6.5;7.5;5.944444444444444;1
311;ALUNO-312;8.5;7.8;6.777777777777778;2
312;ALUNO-313;6.5;6.3;6.833333333333333;1
322;ALUNO-323;4.5;3.3;5.083333333333334;3
331;ALUNO-332;10.0;7.4;8.75;2
336;ALUNO-337;7.0;7.3;7.98888888888889;1
339;ALUNO-340;7.0;7.0;2.494444444444444;0
341;ALUNO-342;8.0;7.6;6.277777777777778;1
344;ALUNO-345;10.0;4.2;1.333333333333333;0
347;ALUNO-348;9.5;6.4;3.666666666666667;0
358;ALUNO-359;7.0;8.0;6.944444444444444;1
363;ALUNO-364;7.5;4.7;5.0;0
364;ALUNO-365;6.666666666666667;6.5;5.011111111111111;1
369;ALUNO-370;6.5;9.1;8.555555555555555;1
372;ALUNO-373;5.666666666666667;1.5;2.911111111111111;3
374;ALUNO-375;9.5;8.1;6.688888888888887;2
376;ALUNO-377;6.0;4.2;4.722222222222222;0
377;ALUNO-378;7.0;7.7;5.188888888888889;1
380;ALUNO-381;8.5;6.1;8.0;2
386;ALUNO-387;6.0;6.6;3.222222222222222;0
387;ALUNO-388;5.5;3.8;2.5;3
393;ALUNO-394;6.333333333333333;5.2;7.266666666666666;1
395;ALUNO-396;8.0;7.2;4.988888888888888;1
403;ALUNO-404;6.666666666666667;7.4;8.511111111111111;1
405;ALUNO-406;9.5;6.4;9.166666666666668;2
406;ALUNO-407;7.666666666666667;6.6;7.722222222222222;1
415;ALUNO-416;7.0;6.9;6.288888888888889;1
420;ALUNO-421;7.666666666666667;5.8;5.611111111111111;1
423;ALUNO-424;9.0;4.5;5.416666666666666;0
424;ALUNO-425;7.333333333333333;5.5;4.611111111111112;0
436;ALUNO-437;5.5;4.0;8.75;1
440;ALUNO-441;8.5;7.8;6.344444444444445;2
446;ALUNO-447;9.5;6.4;7.416666666666666;2
447;ALUNO-448;1.5;6.3;5.583333333333333;3
448;ALUNO-449;10.0;4.9;6.166666666666666;0
449;ALUNO-450;6.666666666666667;6.3;1.166666666666667;0
454;ALUNO-455;7.0;4.9;8.083333333333332;1
462;ALUNO-463;8.0;7.0;6.0;1
468;ALUNO-469;8.0;6.4;5.355555555555555;1
473;ALUNO-474;9.5;4.6;3.666666666666667;0
476;ALUNO-477;2.75;4.3;5.083333333333334;3
481;ALUNO-482;8.0;9.1;7.666666666666667;2
482;ALUNO-483;8.0;8.1;8.166666666666666;2
485;ALUNO-486;0.5;6.0;6.0;3
489;ALUNO-490;8.666666666666666;6.5;6.722222222222222;2
495;ALUNO-496;7.666666666666667;7.5;6.155555555555555;1
498;ALUNO-499;9.0;7.1;7.5;2
501;ALUNO-502;6.666666666666667;3.9;4.411111111111111;0
502;ALUNO-503;5.75;6.9;8.166666666666666;1
506;ALUNO-507;7.666666666666667;2.8;5.577777777777778;0
512;ALUNO-513;10.0;6.1;8.5;2
519;ALUNO-520;6.0;7.2;7.744444444444444;1
520;ALUNO-521;10.0;5.3;6.666666666666666;2
521;ALUNO-522;6.5;3.8;4.466666666666667;0
523;ALUNO-524;9.5;8.4;8.166666666666668;2
526;ALUNO-527;6.666666666666667;7.1;7.633333333333333;1
540;ALUNO-541;9.666666666666666;6.8;4.777777777777778;0
543;ALUNO-544;5.5;6.7;5.833333333333333;1
545;ALUNO-546;4.666666666666667;4.0;1.588888888888889;3
556;ALUNO-557;7.5;5.9;3.0;0
559;ALUNO-560;7.5;3.2;2.966666666666667;0
560;ALUNO-561;1.1666666666666667;4.0;6.0;3
561;ALUNO-562;6.25;9.2;8.144444444444444;1
568;ALUNO-569;10.0;7.0;9.5;2
573;ALUNO-574;7.666666666666667;5.7;6.722222222222221;1
578;ALUNO-579;6.5;5.4;8.083333333333332;1
582;ALUNO-583;7.666666666666667;5.8;4.333333333333333;0
584;ALUNO-585;6.0;0.4;4.583333333333334;3
585;ALUNO-586;10.0;7.1;6.333333333333334;2
587;ALUNO-588;7.5;7.8;7.0;1
593;ALUNO-594;9.0;4.8;9.166666666666666;2
601;ALUNO-602;8.0;2.3;2.25;0
602;ALUNO-603;3.0;3.3;2.333333333333333;3
607;ALUNO-608;7.0;8.5;7.466666666666666;1
612;ALUNO-613;4.0;5.5;3.083333333333333;3
614;ALUNO-615;10.0;7.4;8.916666666666668;2
621;ALUNO-622;5.333333333333333;0.7;0.8888888888888888;3
623;ALUNO-624;6.666666666666667;5.1;1.444444444444444;0
633;ALUNO-634;7.5;2.4;2.916666666666667;0
637;ALUNO-638;8.5;6.1;1.777777777777778;0
641;ALUNO-642;10.0;6.4;9.083333333333332;2
643;ALUNO-644;10.0;9.4;8.111111111111112;2
644;ALUNO-645;9.5;5.3;1.166666666666666;0
646;ALUNO-647;7.5;0.0;6.916666666666666;0
656;ALUNO-657;8.5;8.5;6.777777777777778;2
662;ALUNO-663;9.0;3.3;4.5;0
663;ALUNO-664;9.333333333333334;9.3;8.011111111111111;2
667;ALUNO-668;9.0;4.5;5.25;0
