;NOME;IEG_2020;IEG_2021;IEG_2022;cluster
4;ALUNO-5;8.0;7.5;8.557504873294347;1
7;ALUNO-8;9.9;8.6;8.268065268065268;3
10;ALUNO-11;10.0;10.0;9.198412698412698;3
16;ALUNO-17;6.8;4.2;6.647869674185464;0
17;ALUNO-18;7.0;3.3;6.287640056022409;0
33;ALUNO-34;9.3;2.9;7.056167617548691;0
35;ALUNO-36;9.9;6.4;8.074712643678161;1
36;ALUNO-37;7.7;5.4;9.041585445094215;1
45;ALUNO-46;10.0;10.0;9.082456140350876;3
50;ALUNO-51;9.8;9.2;9.203448275862067;3
59;ALUNO-60;9.7;7.5;4.129901960784314;1
60;ALUNO-61;6.5;1.3;7.787878787878788;0
74;ALUNO-75;10.0;9.2;9.660714285714286;3
75;ALUNO-76;10.0;10.0;9.419753086419751;3
77;ALUNO-78;9.0;9.2;9.480259870064968;3
80;ALUNO-81;8.8;5.8;7.402950310559007;1
82;ALUNO-83;9.4;6.4;7.819047619047619;1
83;ALUNO-84;10.0;10.0;8.838383838383837;3
84;ALUNO-85;9.9;6.7;9.743589743589745;1
86;ALUNO-87;9.2;7.8;5.652169521654815;1
87;ALUNO-88;9.4;9.6;9.11793372319688;3
89;ALUNO-90;5.8;5.0;3.004807692307692;2
90;ALUNO-91;6.4;0.0;7.918575677196368;0
96;ALUNO-97;8.0;5.8;8.467105263157894;1
99;ALUNO-100;6.5;0.0;8.475473801560758;0
101;ALUNO-102;8.5;7.5;8.941798941798943;1
102;ALUNO-103;10.0;8.8;8.903448275862068;3
112;ALUNO-113;8.8;7.1;6.253787878787879;1
117;ALUNO-118;7.7;9.6;8.38888888888889;3
127;ALUNO-128;10.0;6.7;9.45887445887446;1
132;ALUNO-133;9.8;9.6;9.116541353383456;3
134;ALUNO-135;8.4;4.2;4.75108225108225;2
150;ALUNO-151;9.5;9.6;8.436240842490841;3
151;ALUNO-152;9.0;8.3;7.806870995242416;3
152;ALUNO-153;9.0;7.5;9.09722222222222;3
153;ALUNO-154;7.1;2.9;3.797498797498797;2
155;ALUNO-156;8.9;7.8;8.159632034632034;1
157;ALUNO-158;5.9;6.1;4.747740005092947;2
163;ALUNO-164;8.7;5.8;7.304131054131053;1
164;ALUNO-165;10.0;7.5;9.848484848484848;3
167;ALUNO-168;8.8;1.7;6.002801120448179;0
168;ALUNO-169;10.0;10.0;8.945512820512821;3
192;ALUNO-193;9.8;10.0;9.038690476190476;3
196;ALUNO-197;9.6;7.2;8.751352813852813;1
199;ALUNO-200;5.8;1.7;7.10179526355997;0
200;ALUNO-201;9.4;5.6;6.047619047619048;1
211;ALUNO-212;10.0;8.3;8.944141289679047;3
216;ALUNO-217;9.4;8.8;9.876543209876544;3
218;ALUNO-219;7.9;4.2;5.296296296296296;2
224;ALUNO-225;9.7;6.7;7.085185035552683;1
228;ALUNO-229;7.8;0.0;5.10897435897436;0
234;ALUNO-235;9.0;6.9;7.725859160868649;1
240;ALUNO-241;8.8;0.4;4.405425492382014;0
241;ALUNO-242;7.4;5.4;8.325901151988107;1
245;ALUNO-246;8.3;8.8;7.473232323232324;3
250;ALUNO-251;8.9;6.7;7.906846240179574;1
261;ALUNO-262;9.2;6.9;5.245783628136569;1
262;ALUNO-263;9.5;7.8;7.947303921568628;1
265;ALUNO-266;8.9;8.3;8.13529767623928;3
266;ALUNO-267;9.7;8.9;9.72463768115942;3
272;ALUNO-273;4.4;2.1;6.777777777777777;0
274;ALUNO-275;5.2;5.8;6.102272727272728;2
276;ALUNO-277;8.4;10.0;8.626811594202898;3
287;ALUNO-288;7.7;7.5;8.724699557242252;1
292;ALUNO-293;1.3;3.9;2.682539682539682;2
294;ALUNO-295;8.9;7.1;8.166666666666668;1
295;ALUNO-296;8.9;7.9;6.990231990231988;1
300;ALUNO-301;9.2;9.2;7.919672919672919;3
304;ALUNO-305;8.3;7.8;8.301236044657097;1
311;ALUNO-312;9.1;9.6;8.19047619047619;3
312;ALUNO-313;10.0;8.3;8.743961352657005;3
322;ALUNO-323;9.1;7.1;9.217813051146384;1
331;ALUNO-332;9.2;9.6;10.0;3
336;ALUNO-337;9.9;8.1;7.580379978078188;3
339;ALUNO-340;9.4;8.1;6.073717948717948;1
341;ALUNO-342;9.2;6.7;8.825757575757576;1
344;ALUNO-345;10.0;5.0;7.041062801932369;1
347;ALUNO-348;10.0;8.8;8.815217391304348;3
358;ALUNO-359;9.3;5.0;7.709305944600063;1
363;ALUNO-364;9.9;7.5;6.869488536155202;1
364;ALUNO-365;9.6;6.9;4.46764705882353;1
369;ALUNO-370;9.9;8.9;7.780032467532467;3
372;ALUNO-373;5.0;4.4;6.646998834498834;2
374;ALUNO-375;9.5;10.0;8.893762183235868;3
376;ALUNO-377;6.7;7.5;8.08025308025308;1
377;ALUNO-378;9.7;7.8;8.648039215686275;3
380;ALUNO-381;9.8;8.3;6.891025641025642;1
386;ALUNO-387;5.6;5.8;5.126395534290271;2
387;ALUNO-388;8.8;3.8;8.756613756613756;0
393;ALUNO-394;5.3;5.3;8.895292207792206;1
395;ALUNO-396;9.1;8.1;6.083816678845451;1
403;ALUNO-404;9.9;9.2;9.660633484162895;3
405;ALUNO-406;8.8;8.3;8.166666666666666;3
406;ALUNO-407;9.9;8.9;9.615384615384617;3
415;ALUNO-416;9.7;8.8;8.132297717537991;3
420;ALUNO-421;5.9;5.8;6.14606227106227;2
423;ALUNO-424;8.8;5.0;7.677655677655677;1
424;ALUNO-425;6.2;6.4;6.345970206264323;2
436;ALUNO-437;8.5;5.0;8.777777777777779;1
440;ALUNO-441;7.4;7.9;5.765262340634195;1
446;ALUNO-447;10.0;9.6;8.897630147630148;3
447;ALUNO-448;8.9;7.8;9.14141414141414;3
448;ALUNO-449;9.2;7.5;8.271604938271604;1
449;ALUNO-450;6.4;7.5;1.950757575757576;2
454;ALUNO-455;9.3;7.1;9.555555555555555;3
462;ALUNO-463;9.7;8.3;9.23892773892774;3
468;ALUNO-469;9.1;6.7;8.23038073038073;1
473;ALUNO-474;8.3;7.5;8.694463431305536;1
476;ALUNO-477;5.9;5.8;6.774410774410775;2
481;ALUNO-482;9.6;10.0;10.0;3
482;ALUNO-483;9.6;8.3;9.666666666666666;3
485;ALUNO-486;9.0;6.3;4.775329529805234;1
489;ALUNO-490;8.5;7.8;8.243464052287582;1
495;ALUNO-496;9.5;6.7;8.87797619047619;1
498;ALUNO-499;8.7;7.1;8.977072310405644;1
501;ALUNO-502;8.5;4.7;8.33137408568443;1
502;ALUNO-503;10.0;10.0;10.0;3
506;ALUNO-507;8.8;3.9;7.961309523809524;0
512;ALUNO-513;9.4;7.5;9.2330779054917;3
519;ALUNO-520;9.6;9.7;10.0;3
520;ALUNO-521;8.5;4.6;7.375612892854272;1
521;ALUNO-522;9.3;4.2;4.280096793708409;2
523;ALUNO-524;10.0;9.2;9.86111111111111;3
526;ALUNO-527;8.5;7.2;8.400490196078431;1
540;ALUNO-541;9.9;6.9;7.945767195767196;1
543;ALUNO-544;7.6;7.9;6.916872529644269;1
545;ALUNO-546;5.4;7.2;4.63109243697479;2
556;ALUNO-557;8.5;8.3;5.291071428571428;1
559;ALUNO-560;5.3;4.6;3.7;2
