;NOME;INDE_2020;INDE_2021;INDE_2022;cluster
4;ALUNO-5;8.077085;7.399;7.232336307992202;3
7;ALUNO-8;8.381390666666666;8.269;7.289795442501942;1
10;ALUNO-11;9.712504;8.99;8.464686539682539;1
16;ALUNO-17;7.766252;6.14;6.723325934837093;0
17;ALUNO-18;7.2055576666666665;5.666;5.845721955648926;0
33;ALUNO-34;7.698890666666667;6.129;6.666787745731961;0
35;ALUNO-36;8.307780333333334;6.246;6.854039584291188;3
36;ALUNO-37;6.6788913333333335;6.154;7.55554175568551;0
45;ALUNO-46;6.966669;8.471;7.398436561403509;3
50;ALUNO-51;8.955835;8.051;6.953190321839081;3
59;ALUNO-60;7.679582333333333;6.956;5.783132947712418;0
60;ALUNO-61;5.604168666666667;3.017;6.410355757575758;2
74;ALUNO-75;9.687504;9.108;9.441521857142858;1
75;ALUNO-76;8.958334;8.869;8.306175283950617;1
77;ALUNO-78;7.352085;6.339;7.604387307346327;3
80;ALUNO-81;7.386391000000001;6.188;7.474202506556246;3
82;ALUNO-83;8.155003333333333;5.987;7.202977523809524;3
83;ALUNO-84;8.750001000000001;7.867;7.502401434343434;1
84;ALUNO-85;7.263334;6.652;7.744553615384616;3
86;ALUNO-87;8.188612666666666;8.004;6.644810737664296;3
87;ALUNO-88;9.04042;8.096;8.427269800194932;1
89;ALUNO-90;7.073542833333333;5.994;5.195056982905983;0
90;ALUNO-91;6.846668;4.2;7.412884468772608;2
96;ALUNO-97;7.393752;6.317;7.501754052631579;3
99;ALUNO-100;6.908335000000001;3.117;6.042318760312152;2
101;ALUNO-102;7.966668666666667;6.704;7.475860455026456;3
102;ALUNO-103;8.597919000000001;8.076;7.105690655172413;3
112;ALUNO-113;7.693335000000001;6.664;6.40909040909091;0
117;ALUNO-118;8.342085;8.299;8.334031111111113;1
127;ALUNO-128;5.854169000000001;5.229;7.00427655844156;2
132;ALUNO-133;8.428752;7.99;7.292060604010025;3
134;ALUNO-135;7.798752;5.788;5.262717116883117;0
150;ALUNO-151;8.238891333333333;9.004;8.225582168498168;1
151;ALUNO-152;7.963542166666667;8.672;7.618388587937373;1
152;ALUNO-153;8.167711833333334;8.355;9.105280944444443;1
153;ALUNO-154;5.884585;5.163;4.934497092833093;2
155;ALUNO-156;7.110556666666668;7.981;7.535259906926407;3
157;ALUNO-158;6.064722;6.056;5.623852223240812;0
163;ALUNO-164;7.708752;7.125;6.837216877492878;3
164;ALUNO-165;8.431252;7.579;8.18081096969697;1
167;ALUNO-168;8.082224;3.524;6.434172224089636;2
168;ALUNO-169;7.800001000000001;6.898;7.284936897435898;3
192;ALUNO-193;8.539168666666667;8.215;7.174196928571429;1
196;ALUNO-197;8.832500666666666;7.751;8.354717840548341;1
199;ALUNO-200;7.355834833333334;4.788;6.874873274934217;2
200;ALUNO-201;7.718541500000001;5.636;6.438413142857143;0
211;ALUNO-212;6.345836;5.663;6.344244591269144;0
216;ALUNO-217;8.942503;7.765;8.48808864197531;1
218;ALUNO-219;7.832084999999999;4.176;5.810649259259259;2
224;ALUNO-225;8.845558333333333;7.138;6.957316284888314;3
228;ALUNO-229;5.890556;5.054;6.025962871794872;2
234;ALUNO-235;8.125001833333334;7.544;6.922391887729286;3
240;ALUNO-241;7.285002;2.86;4.55608576514307;2
241;ALUNO-242;6.707085000000001;5.833;6.454070897064289;0
245;ALUNO-246;7.639168666666666;7.013;6.736315131313132;3
250;ALUNO-251;8.575835333333334;7.976;8.011927248035915;1
261;ALUNO-262;8.221251333333335;7.903;7.054851281182869;3
262;ALUNO-263;8.386113666666667;7.694;6.591127006535949;3
265;ALUNO-266;8.336252;7.892;7.834006201914523;1
266;ALUNO-267;8.370558666666668;8.014;7.798470369565218;1
272;ALUNO-273;4.386945333333334;4.125;6.683335555555555;2
274;ALUNO-275;6.399376666666667;5.815;6.073162378787879;0
276;ALUNO-277;8.018889999999999;8.183;7.305919652173913;3
287;ALUNO-288;6.840002;8.088;8.107440578115117;3
292;ALUNO-293;4.4162505;3.08;3.845535880952381;2
294;ALUNO-295;7.586252;6.771;7.720835333333334;3
295;ALUNO-296;7.713335;7.221;6.823047731379731;3
300;ALUNO-301;8.848335333333335;8.289;8.188103917267917;1
304;ALUNO-305;7.361390666666666;7.315;6.916844597820308;3
311;ALUNO-312;8.508890666666668;7.946;7.278024793650793;3
312;ALUNO-313;7.900001;7.375;7.073794270531402;3
322;ALUNO-323;6.053335000000001;4.976;6.322731276895944;2
331;ALUNO-332;8.258057333333333;8.342;8.750002666666667;1
336;ALUNO-337;8.952223333333334;7.661;7.123577106726749;3
339;ALUNO-340;7.595277333333334;7.8;5.717800478632479;0
341;ALUNO-342;8.133752000000001;7.392;7.024874570707071;3
344;ALUNO-345;8.5;6.764;5.72210322705314;0
347;ALUNO-348;7.79167;7.558;6.589433478260871;3
358;ALUNO-359;8.175279333333334;7.326;7.925542577808901;3
363;ALUNO-364;7.813335;6.306;6.312788373897707;0
364;ALUNO-365;8.396044333333334;7.376;5.951307967320262;3
369;ALUNO-370;8.613335;8.196;7.692119104617605;1
372;ALUNO-373;6.216666833333334;4.712;5.711969322455323;2
374;ALUNO-375;9.33542;8.858;8.155073214424952;1
376;ALUNO-377;7.412223000000001;7.11;6.94278506049506;3
377;ALUNO-378;7.969167;7.441;7.427454954248366;3
380;ALUNO-381;6.443336;7.052;6.953207128205129;0
386;ALUNO-387;6.289445333333333;6.19;5.159305551302499;0
387;ALUNO-388;7.0419453333333335;6.007;6.445768751322752;0
393;ALUNO-394;5.934999666666666;6.053;7.056350274891774;0
395;ALUNO-396;7.454722;7.593;6.241624113546868;3
403;ALUNO-404;8.318544833333334;8.499;8.940600419054803;1
405;ALUNO-406;7.978752000000001;6.868;7.808336000000001;3
406;ALUNO-407;8.289376333333333;8.475;8.920648367521368;1
415;ALUNO-416;7.780279333333334;7.349;7.021737821285376;3
420;ALUNO-421;7.137293833333334;6.624;5.580600676434676;0
423;ALUNO-424;7.912085;5.99;6.77720046886447;0
424;ALUNO-425;7.131665666666668;6.642;6.477875763475088;0
436;ALUNO-437;7.808335333333335;6.482;7.700002222222222;3
440;ALUNO-441;7.599446;7.571;6.802149357015729;3
446;ALUNO-447;7.0;7.69;7.301750696192697;3
447;ALUNO-448;7.510557333333334;7.85;7.482452161616162;3
448;ALUNO-449;8.745557333333332;7.653;7.694600987654322;1
449;ALUNO-450;6.957083833333334;7.196;4.331819181818182;0
454;ALUNO-455;8.586392000000002;7.154;8.400003111111111;1
462;ALUNO-463;8.291043;8.292;7.674870047785548;1
468;ALUNO-469;8.347085000000002;6.759;7.500521257187258;3
473;ALUNO-474;8.033612666666667;7.215;6.636118019594441;3
476;ALUNO-477;5.791112666666667;5.185;6.339605488215488;2
481;ALUNO-482;8.342224;9.021;8.467711333333334;1
482;ALUNO-483;8.374169333333333;7.644;8.672919666666665;1
485;ALUNO-486;5.862502000000001;5.511;4.498817405961047;2
489;ALUNO-490;8.003127333333333;7.044;6.846262254901961;3
495;ALUNO-496;8.688544833333335;7.895;7.860874682539682;1
498;ALUNO-499;8.308752;7.497;7.882917128747796;3
501;ALUNO-502;8.179167666666668;6.853;7.356831539359108;3
502;ALUNO-503;7.233337000000001;8.008;7.826390666666667;3
506;ALUNO-507;8.008612333333332;5.58;6.738025960317461;0
512;ALUNO-513;8.734168;7.285;8.219535581098341;1
519;ALUNO-520;8.17278;8.414;8.31659788888889;1
520;ALUNO-521;8.647224666666666;7.254;6.950124578570855;3
521;ALUNO-522;7.495419;5.868;5.857687358741682;0
523;ALUNO-524;8.362502000000001;8.494;8.261113555555557;1
526;ALUNO-527;7.903127833333334;7.62;6.818223705882353;3
540;ALUNO-541;9.098057333333331;7.835;6.719708994708995;3
543;ALUNO-544;6.706112;7.292;6.527470839262188;0
545;ALUNO-546;4.928614333333334;5.728;4.786009931839403;2
556;ALUNO-557;7.702085;7.543;5.679047285714286;0
559;ALUNO-560;6.8558346666666665;6.489;5.261113333333334;0
560;ALUNO-561;6.012498666666668;4.74;5.986962451914099;2
561;ALUNO-562;8.356669333333334;8.418;7.945715145299146;1
568;ALUNO-569;9.233336;8.644;8.231946666666667;1
573;ALUNO-574;7.638334333333334;7.336;8.108784346405228;3
578;ALUNO-579;7.841669;7.332;7.558498337662337;3
582;ALUNO-583;7.424375833333333;6.535;5.486078375661376;0
584;ALUNO-585;6.519446;2.735;5.518140515426498;2
585;ALUNO-586;7.982502;8.019;7.454659477025898;3
587;ALUNO-588;8.664586;8.881;7.303474222222222;1
593;ALUNO-594;7.965557333333334;7.476;8.12134394356261;3
601;ALUNO-602;6.19875;4.94;4.971855378033206;2
602;ALUNO-603;6.068611666666667;5.787;5.561111555555557;0
607;ALUNO-608;7.580834333333334;7.31;6.576346820512821;3
612;ALUNO-613;6.560557333333334;7.196;6.664746446689114;0
614;ALUNO-615;9.616671;8.358;8.33840773949389;1
621;ALUNO-622;6.487222666666668;5.193;4.276529111111112;2
623;ALUNO-624;5.227220000000001;5.742;3.737944252525253;2
633;ALUNO-634;6.147084;3.754;5.248612;2
637;ALUNO-638;6.906668;6.783;4.311944251526252;0
641;ALUNO-642;8.003890666666667;7.082;6.946674134932534;3
643;ALUNO-644;8.626253;9.163;8.441663515948964;1
644;ALUNO-645;8.600003000000001;6.633;4.742008908382067;0
646;ALUNO-647;7.201112666666667;3.868;7.366941455828123;2
656;ALUNO-657;8.776947333333334;8.046;8.622797438146648;1
662;ALUNO-663;7.377085000000001;5.479;5.378863434173669;0
663;ALUNO-664;9.219448333333334;8.681;8.842987091787439;1
667;ALUNO-668;7.728335333333334;6.722;6.658016026362202;3
680;ALUNO-681;5.648752;6.842;6.665405026862027;0
685;ALUNO-686;7.767919;6.917;6.853260478696742;3
688;ALUNO-689;7.776669999999999;7.908;8.016570200779729;1
692;ALUNO-693;8.25;6.675;7.434636280701754;3
694;ALUNO-695;8.631250000000001;8.263;7.620637142857143;1
699;ALUNO-700;6.966111333333335;6.197;6.103704377554813;0
702;ALUNO-703;8.340419;7.106;6.824891426456685;3
706;ALUNO-707;7.794168000000001;6.814;5.942467448717949;0
707;ALUNO-708;8.004724;7.286;5.888588956521739;0
709;ALUNO-710;8.431669;8.713;8.124397285239297;1
720;ALUNO-721;5.660002;5.029;4.563332;2
731;ALUNO-732;7.851389666666667;7.765;7.369714659440588;3
736;ALUNO-737;8.070001999999999;7.431;7.378176603174603;3
737;ALUNO-738;7.458336000000001;8.042;7.006941758454106;3
738;ALUNO-739;8.703753666666667;8.085;7.973381651316815;1
742;ALUNO-743;7.993333000000001;8.061;7.381391333333333;3
745;ALUNO-746;8.890836;9.107;8.510208575470424;1
746;ALUNO-747;8.154376000000001;8.675;7.590972222222223;1
752;ALUNO-753;6.485277;4.785;5.061431199756183;2
754;ALUNO-755;7.735417;6.872;7.468215478632479;3
756;ALUNO-757;6.240207333333333;5.421;6.195832000000001;2
759;ALUNO-760;8.641250000000001;7.36;7.058532857142858;3
765;ALUNO-766;6.824446333333334;7.44;4.951788339057362;0
767;ALUNO-768;7.727224;8.065;7.084109195402299;3
772;ALUNO-773;7.854724666666667;8.921;8.655707365079365;1
782;ALUNO-783;6.995835000000001;6.118;6.535165330634278;0
789;ALUNO-790;9.198059333333331;8.65;8.404169666666668;1
791;ALUNO-792;7.783335;5.531;5.553987846496118;0
793;ALUNO-794;8.281114;7.211;7.302153111111111;3
795;ALUNO-796;8.615210166666667;5.943;6.258056446780273;0
806;ALUNO-807;8.091669;9.176;8.813892666666668;1
810;ALUNO-811;8.196669;7.196;6.969181527369182;3
813;ALUNO-814;6.864723333333334;6.231;6.322553780885782;0
816;ALUNO-817;8.341669000000001;7.549;7.279925742424242;3
819;ALUNO-820;8.332223666666668;8.073;7.304722388888888;3
822;ALUNO-823;8.450835333333334;7.207;7.912811530864198;3
823;ALUNO-824;7.751390666666667;7.76;5.914900545454545;3
824;ALUNO-825;5.730206833333334;4.286;5.705118585573055;2
827;ALUNO-828;7.503891;7.482;6.259109685300206;3
828;ALUNO-829;6.508056333333332;6.418;7.117600108225108;0
829;ALUNO-830;9.098615;8.506;8.135882296296298;1
830;ALUNO-831;7.889583000000001;7.351;6.445832675903806;3
834;ALUNO-835;5.032083;4.335;5.661425060985798;2
839;ALUNO-840;7.487501000000001;6.598;7.151334755991286;3
847;ALUNO-848;7.432918;6.85;6.030205833333333;0
849;ALUNO-850;8.186876333333334;8.151;7.388203535794046;3
850;ALUNO-851;7.649999999999999;7.713;8.040676603174603;3
854;ALUNO-855;7.356112666666667;6.243;6.355207500000001;0
857;ALUNO-858;8.590003000000001;8.586;6.689521871961853;3
860;ALUNO-861;8.080835;7.724;6.962409296451915;3
861;ALUNO-862;8.345835333333333;7.99;7.785336999222999;1
865;ALUNO-866;8.558752;8.846;8.416724112554114;1
871;ALUNO-872;6.996391333333334;4.451;5.526750312169312;2
876;ALUNO-877;7.543335000000001;6.379;6.05804740909091;0
885;ALUNO-886;8.71667;8.544;8.086112;1
888;ALUNO-889;7.633752;7.933;7.831592958621301;3
901;ALUNO-902;7.716669;7.273;7.517770718098665;3
902;ALUNO-903;8.885835;9.069;8.175157209876545;1
908;ALUNO-909;6.241251999999999;6.082;6.654070674842067;0
909;ALUNO-910;4.328750666666667;6.772;5.323060529411764;0
910;ALUNO-911;6.5970838333333335;6.239;5.54660878400712;0
915;ALUNO-916;8.5077105;8.866;9.354308222222222;1
918;ALUNO-919;7.1305570000000005;6.517;4.831948084967321;0
921;ALUNO-922;7.287919;7.475;7.191666500000001;3
922;ALUNO-923;7.400002000000001;5.91;7.67873527680312;3
925;ALUNO-926;7.648612;7.219;5.148616912114456;0
926;ALUNO-927;8.537502;7.247;6.65156698989899;3
929;ALUNO-930;8.372780333333333;8.355;8.96534820289855;1
930;ALUNO-931;8.231250000000001;7.757;6.38972597744361;3
931;ALUNO-932;7.526252;7.289;5.201146520702537;0
936;ALUNO-937;8.427224;8.581;6.925909119658121;1
943;ALUNO-944;5.510277666666668;4.625;4.181778881642512;2
947;ALUNO-948;7.360557333333334;6.908;6.288918699407872;0
956;ALUNO-957;7.671946;7.44;7.35895350617284;3
957;ALUNO-958;8.426390666666666;7.494;6.68171391025641;3
960;ALUNO-961;8.659168666666668;7.261;7.460804469135802;3
963;ALUNO-964;8.032502000000001;6.029;7.720170621212121;3
982;ALUNO-983;7.789724;8.296;7.740831693121693;1
983;ALUNO-984;5.311390666666667;4.081;5.588394190476191;2
988;ALUNO-989;7.886668666666667;5.207;6.899874812372813;0
990;ALUNO-991;6.7994460000000005;7.107;6.930756190476192;3
992;ALUNO-993;7.5256255;6.05;6.846516835004177;0
993;ALUNO-994;8.677223999999999;7.604;7.439744423076924;3
995;ALUNO-996;7.736390666666667;6.892;7.065554520054659;3
996;ALUNO-997;8.982502;8.767;7.960716507936509;1
1001;ALUNO-1002;8.114724;7.693;7.562874816059757;3
1003;ALUNO-1004;7.675002000000001;7.506;8.184503595776773;3
1009;ALUNO-1010;8.582085;7.449;7.262763158594493;3
1013;ALUNO-1014;6.964446;7.636;7.303241851851853;3
1014;ALUNO-1015;8.052502;8.475;8.67342461904762;1
1016;ALUNO-1017;8.473890666666668;7.844;7.95721614036921;1
1021;ALUNO-1022;8.780002;7.219;7.52518315942029;3
1027;ALUNO-1028;7.73389;6.917;6.943054722222223;3
1028;ALUNO-1029;8.352502999999999;8.782;7.928183035966957;1
1030;ALUNO-1031;9.166669;8.863;7.950002;1
1033;ALUNO-1034;7.751391333333333;7.679;7.495580529657477;3
1050;ALUNO-1051;6.254445333333334;3.599;6.762500166666667;2
1066;ALUNO-1067;8.312502;8.544;7.682753058681186;1
1069;ALUNO-1070;7.633334;7.758;5.949454421052632;3
1071;ALUNO-1072;8.193334333333334;7.033;5.371978339181286;0
1074;ALUNO-1075;8.796113333333334;7.859;7.566015304972806;1
1077;ALUNO-1078;7.804168000000001;4.45;6.511662330532213;2
1083;ALUNO-1084;8.308336;7.954;6.464252763285025;3
1084;ALUNO-1085;6.205209666666667;6.234;6.157779444444444;0
1089;ALUNO-1090;6.611668;7.179;5.179630296296297;0
1092;ALUNO-1093;7.297778666666666;7.225;6.901589607843138;3
1094;ALUNO-1095;9.116669;9.294;8.902781333333333;1
1102;ALUNO-1103;6.394585;4.0;6.011790235258207;2
1104;ALUNO-1105;7.648752;6.621;6.787123434343435;3
1109;ALUNO-1110;7.852501999999999;6.871;6.605761359666916;3
1122;ALUNO-1123;8.266390000000001;7.634;7.815768210526317;3
1126;ALUNO-1127;7.356669999999999;7.547;7.628620754385966;3
1127;ALUNO-1128;8.229169833333334;7.961;8.28217875925926;1
1129;ALUNO-1130;8.788613333333334;9.107;8.815164203703704;1
1135;ALUNO-1136;7.737918833333333;8.292;7.367519229847495;3
1140;ALUNO-1141;6.9812520000000005;6.969;5.604466564270153;0
1149;ALUNO-1150;8.673890666666669;7.318;7.181471298245615;3
1155;ALUNO-1156;8.281250333333332;6.73;5.562542284489457;0
1158;ALUNO-1159;8.552224666666667;8.014;7.875768381520724;1
1160;ALUNO-1161;6.2183348333333335;6.458;6.775990920062696;0
1164;ALUNO-1165;8.080002;7.765;6.926393898268398;3
1166;ALUNO-1167;7.627502;6.294;7.184480244200245;3
1167;ALUNO-1168;8.043751;8.104;7.180380522045855;3
1169;ALUNO-1170;8.178752;4.275;6.281145375891421;2
1170;ALUNO-1171;8.925003;9.025;8.63847438888889;1
1173;ALUNO-1174;7.3906255;6.775;4.949617787439614;0
1175;ALUNO-1176;8.233335;8.003;8.523222128427129;1
1180;ALUNO-1181;7.745836000000001;7.961;7.455557555555556;3
1189;ALUNO-1190;8.100557333333333;7.554;6.929611095238096;3
1190;ALUNO-1191;6.828125666666667;4.615;8.180903944444445;2
1194;ALUNO-1195;8.153752;8.322;8.645932539215686;1
1214;ALUNO-1215;8.700003;7.401;7.908336;1
1216;ALUNO-1217;8.443336;8.181;7.83582013255232;1
1218;ALUNO-1219;7.974724666666667;8.201;8.005754301587302;1
1222;ALUNO-1223;8.350558;6.779;6.806094361305362;3
1225;ALUNO-1226;8.129724666666666;6.621;6.618397615273615;3
1229;ALUNO-1230;7.567082333333333;7.714;8.063313842911878;3
