;NOME;IPP_2020;IPP_2021;IPP_2022;cluster
4;ALUNO-5;8.4375;8.5;6.458333333333334;2
7;ALUNO-8;8.749999999999998;8.0;7.65625;3
10;ALUNO-11;10.0;7.7;7.083333333333332;3
16;ALUNO-17;6.5625;8.4;5.9375;2
17;ALUNO-18;7.083333333333334;7.7;7.8125;0
33;ALUNO-34;8.125;7.7;7.5;3
35;ALUNO-36;8.749999999999998;7.3;7.96875;3
36;ALUNO-37;6.458333333333333;7.5;6.25;0
45;ALUNO-46;7.5;8.1;6.041666666666667;2
50;ALUNO-51;8.125;7.7;5.625;2
59;ALUNO-60;8.4375;7.2;7.96875;3
60;ALUNO-61;6.875;6.9;6.25;0
74;ALUNO-75;9.375;8.8;9.21875;3
75;ALUNO-76;7.5;7.5;5.833333333333334;2
77;ALUNO-78;7.1875;7.3;6.666666666666666;0
80;ALUNO-81;8.125;8.1;7.5;3
82;ALUNO-83;8.958333333333332;7.3;6.875;3
83;ALUNO-84;7.5;7.5;6.458333333333334;2
84;ALUNO-85;2.5;4.7;5.625;1
86;ALUNO-87;8.749999999999998;8.1;7.96875;3
87;ALUNO-88;5.9375;8.1;8.90625;0
89;ALUNO-90;7.96875;7.2;6.71875;2
90;ALUNO-91;5.625;5.6;6.458333333333334;0
96;ALUNO-97;8.4375;7.5;7.5;3
99;ALUNO-100;6.875;6.3;6.25;0
101;ALUNO-102;7.5;7.9;6.041666666666667;2
102;ALUNO-103;7.8125;7.9;5.625;2
112;ALUNO-113;7.5;8.1;5.625;2
117;ALUNO-118;7.1875;7.5;6.5625;0
127;ALUNO-128;2.5;2.5;5.0;1
132;ALUNO-133;7.1875;7.7;5.3125;2
134;ALUNO-135;7.1875;6.9;5.625;2
150;ALUNO-151;9.166666666666666;10.0;8.125;3
151;ALUNO-152;7.96875;8.3;7.03125;3
152;ALUNO-153;8.59375;8.0;8.75;3
153;ALUNO-154;7.8125;8.1;6.25;2
155;ALUNO-156;6.666666666666667;8.3;7.5;0
157;ALUNO-158;7.708333333333334;6.9;7.1875;0
163;ALUNO-164;7.1875;7.5;6.041666666666667;2
164;ALUNO-165;7.8125;8.3;6.875;2
167;ALUNO-168;7.5;7.5;6.041666666666667;2
168;ALUNO-169;2.5;5.3;5.625;1
192;ALUNO-193;8.125;7.9;7.65625;3
196;ALUNO-197;8.958333333333332;8.1;8.125;3
199;ALUNO-200;8.125;6.7;7.65625;3
200;ALUNO-201;7.96875;8.3;7.5;3
211;ALUNO-212;2.5;2.5;2.8125;1
216;ALUNO-217;8.125;8.1;6.666666666666666;2
218;ALUNO-219;8.4375;8.1;6.458333333333334;2
224;ALUNO-225;8.749999999999998;7.5;8.125;3
228;ALUNO-229;7.916666666666668;6.9;4.375;2
234;ALUNO-235;7.5;7.3;6.875;0
240;ALUNO-241;2.5;4.1;4.166666666666666;1
241;ALUNO-242;7.1875;7.1;6.458333333333334;0
245;ALUNO-246;7.083333333333333;8.5;6.041666666666667;2
250;ALUNO-251;7.291666666666667;8.5;6.25;2
261;ALUNO-262;9.0625;7.8;7.8125;3
262;ALUNO-263;8.958333333333332;8.0;8.125;3
265;ALUNO-266;8.4375;7.5;6.666666666666666;2
266;ALUNO-267;8.958333333333334;8.3;7.34375;3
272;ALUNO-273;7.291666666666667;6.3;5.833333333333334;2
274;ALUNO-275;6.09375;6.9;7.34375;0
276;ALUNO-277;7.708333333333334;8.5;6.041666666666667;2
287;ALUNO-288;8.333333333333334;7.3;8.125;3
292;ALUNO-293;7.1875;5.9;5.3125;2
294;ALUNO-295;4.6875;7.5;6.041666666666667;1
295;ALUNO-296;7.5;7.3;6.25;2
300;ALUNO-301;7.916666666666668;8.5;6.875;2
304;ALUNO-305;6.458333333333334;7.5;7.34375;0
311;ALUNO-312;5.833333333333333;8.8;7.34375;0
312;ALUNO-313;7.5;8.1;5.416666666666667;2
322;ALUNO-323;2.5;3.8;6.041666666666667;1
331;ALUNO-332;7.291666666666667;8.3;6.666666666666666;2
