;NOME;IPS_2020;IPS_2021;IPS_2022;cluster
4;ALUNO-5;7.5;7.5;7.5;1
7;ALUNO-8;4.375;7.5;5.0;0
10;ALUNO-11;8.125;6.3;7.5;1
16;ALUNO-17;7.5;7.5;7.5;1
17;ALUNO-18;7.5;6.3;8.125;1
33;ALUNO-34;6.875;7.5;7.5;1
35;ALUNO-36;7.5;3.8;6.25;2
36;ALUNO-37;4.375;6.9;7.5;0
45;ALUNO-46;7.5;7.5;7.5;1
50;ALUNO-51;7.5;7.5;7.5;1
59;ALUNO-60;6.875;6.9;5.625;3
60;ALUNO-61;7.5;5.6;7.5;1
74;ALUNO-75;10.0;7.5;9.375;1
75;ALUNO-76;10.0;7.5;7.5;1
77;ALUNO-78;7.5;7.5;7.5;1
80;ALUNO-81;7.5;2.5;8.125;2
82;ALUNO-83;5.625;3.8;7.5;2
83;ALUNO-84;10.0;7.5;7.5;1
84;ALUNO-85;2.5;6.3;5.0;0
86;ALUNO-87;5.625;7.5;5.625;0
87;ALUNO-88;7.5;6.3;5.625;3
89;ALUNO-90;7.5;7.5;7.5;1
90;ALUNO-91;6.875;7.5;7.5;1
96;ALUNO-97;7.5;7.5;7.5;1
99;ALUNO-100;4.375;3.8;5.0;2
101;ALUNO-102;7.5;7.5;7.5;1
102;ALUNO-103;7.5;6.3;5.625;3
112;ALUNO-113;7.5;7.5;5.625;3
117;ALUNO-118;7.5;7.5;7.5;1
127;ALUNO-128;5.625;4.4;5.625;2
132;ALUNO-133;7.5;7.5;6.875;1
134;ALUNO-135;7.5;6.3;5.0;3
150;ALUNO-151;7.5;8.1;6.875;1
151;ALUNO-152;7.5;7.5;5.0;3
152;ALUNO-153;7.5;7.5;8.125;1
153;ALUNO-154;7.5;7.5;7.5;1
155;ALUNO-156;7.5;6.3;5.0;3
157;ALUNO-158;3.75;6.9;5.0;0
163;ALUNO-164;7.5;7.5;7.5;1
164;ALUNO-165;7.5;7.5;8.125;1
167;ALUNO-168;7.5;5.6;6.25;3
168;ALUNO-169;5.0;4.4;5.0;2
192;ALUNO-193;5.0;5.6;5.625;0
196;ALUNO-197;7.5;7.5;5.625;3
199;ALUNO-200;7.5;6.9;7.5;1
200;ALUNO-201;7.5;0.0;7.5;2
211;ALUNO-212;4.375;5.0;4.375;0
216;ALUNO-217;7.5;7.5;7.5;1
218;ALUNO-219;8.75;6.9;7.5;1
224;ALUNO-225;7.5;6.9;5.0;3
228;ALUNO-229;7.5;7.5;5.0;3
234;ALUNO-235;7.5;5.6;6.875;3
240;ALUNO-241;6.25;5.6;5.0;3
241;ALUNO-242;6.25;7.5;6.875;1
245;ALUNO-246;6.875;5.6;6.875;3
250;ALUNO-251;7.5;7.5;7.5;1
261;ALUNO-262;5.0;7.5;6.25;0
262;ALUNO-263;6.875;7.5;5.625;3
265;ALUNO-266;5.625;6.3;5.625;0
266;ALUNO-267;5.625;6.3;5.625;0
272;ALUNO-273;7.5;7.5;7.5;1
274;ALUNO-275;7.5;6.3;6.25;3
276;ALUNO-277;5.625;7.5;6.875;0
287;ALUNO-288;7.5;7.5;7.5;1
292;ALUNO-293;4.375;0.0;5.0;2
294;ALUNO-295;4.375;7.5;7.5;0
